Budget,Revenue,Title,Average Vote,release_date,Release Year,"Revenue, USD mln","Budget, USD mln","Revenue Adjusted, USD mln",Revenue Adjusted,"Budget Adjusted, USD mln",Outlier,Starring Actors Popularity
250000000,1153304495,Captain America: Civil War,7.1,2016-04-27,2016.0,1153.304495,250.0,1187.90362985,1187903629.8500001,257.5,False,7446.875630742084
250000000,873260194,Batman v Superman: Dawn of Justice,5.7,2016-03-23,2016.0,873.260194,250.0,899.4579998199999,899457999.82,257.5,False,3144.889917839428
175000000,497409852,Troy,6.9,2004-05-13,2004.0,497.409852,175.0,730.4631370649532,730463137.0649532,256.99339985402383,False,3462.5235000980906
180000000,748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2005-12-07,2005.0,748.806957,180.0,1067.619671088909,1067619671.0889088,256.63695963231226,False,0.0
220000000,1519557910,The Avengers,7.4,2012-04-25,2012.0,1519.55791,220.0,1761.5840894604928,1761584089.4604928,255.04029634600002,False,3271.1356728464466
200000000,371353001,Terminator Salvation,5.9,2009-05-20,2009.0,371.353001,200.0,470.41887130030557,470418871.3003056,253.35401627752327,False,2293.025284156022
200000000,769653595,2012,5.6,2009-10-10,2009.0,769.653595,200.0,974.9741471784215,974974147.1784215,253.35401627752327,False,1053.9127395425216
200000000,325233863,A Christmas Carol,6.6,2009-11-04,2009.0,325.233863,200.0,411.9965271025189,411996527.10251886,253.35401627752327,False,4688.488959516191
225000000,662845518,Man of Steel,6.5,2013-06-12,2013.0,662.845518,225.0,746.0384701780137,746038470.1780137,253.23948225000004,False,1534.639143804349
215000000,752215857,The Amazing Spider-Man,6.5,2012-06-27,2012.0,752.215857,215.0,872.0243412974562,872024341.2974563,249.2439259745,False,539.2931686516044
200000000,623933331,Iron Man 2,6.6,2010-04-28,2010.0,623.933331,200.0,767.359297564385,767359297.564385,245.97477308497403,False,1975.685200286057
200000000,1066969703,Toy Story 3,7.6,2010-06-16,2010.0,1066.969703,200.0,1312.2381529198358,1312238152.9198358,245.97477308497403,False,8130.049317435812
200000000,1025491110,Alice in Wonderland,6.4,2010-03-03,2010.0,1025.49111,200.0,1261.2247154145407,1261224715.4145408,245.97477308497403,False,5659.226207097881
200000000,310669540,Robin Hood,6.2,2010-05-12,2010.0,310.66954,200.0,382.0843480295663,382084348.02956635,245.97477308497403,False,3293.8411560085297
140000000,285444603,Lethal Weapon 4,6.3,1998-07-10,1998.0,285.444603,140.0,500.52883917869013,500528839.1786902,245.49084743079422,False,2712.732459800517
140000000,553799566,Armageddon,6.4,1998-07-01,1998.0,553.799566,140.0,971.0908911724719,971090891.1724719,245.49084743079422,False,2428.3127284710063
165000000,305875730,The Polar Express,6.4,2004-11-10,2004.0,305.87573,165.0,449.18882163160816,449188821.6316082,242.3080627195082,False,6847.670611784254
209000000,303025485,Battleship,5.5,2012-04-11,2012.0,303.025485,209.0,351.2895886126836,351289588.61268353,242.28828152870003,False,12.081364036699602
180000000,372234864,The Golden Compass,5.8,2007-12-04,2007.0,372.234864,180.0,500.25253069253176,500252530.69253176,241.904948281942,False,1480.5272142254034
185000000,1004558444,The Dark Knight,8.2,2008-07-16,2008.0,1004.558444,185.0,1310.7209193204321,1310720919.3204322,241.3830390084103,False,1039.4243063243473
185000000,786636033,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2008-05-21,2008.0,786.636033,185.0,1026.381601292217,1026381601.2922169,241.3830390084103,False,6757.288382905022
200000000,559852396,Cars 2,5.8,2011-06-11,2011.0,559.852396,200.0,668.4930391610632,668493039.1610632,238.81045930580004,False,2840.478968325833
200000000,219851172,Green Lantern,5.1,2011-06-16,2011.0,219.851172,200.0,262.5137968211922,262513796.8211922,238.81045930580004,False,857.2982107147592
175000000,173000000,Evan Almighty,5.3,2007-06-09,2007.0,173.0,175.0,232.49753362653314,232497533.62653315,235.18536638522139,False,2113.9127747487264
180000000,521311860,WALL·E,7.8,2008-06-22,2008.0,521.31186,180.0,680.1937353401456,680193735.3401456,234.8591730892641,False,223.84887987815284
195000000,1123746996,Transformers: Dark of the Moon,6.1,2011-06-28,2011.0,1123.746996,195.0,1341.8126812913652,1341812681.2913651,232.84019782315502,False,3589.3505264979954
200000000,1108561013,Skyfall,6.9,2012-10-25,2012.0,1108.561013,200.0,1285.1260421506454,1285126042.1506453,231.85481486,False,2830.887363082025
135000000,361832400,The World Is Not Enough,6.0,1999-11-08,1999.0,361.8324,135.0,615.9954403877816,615995440.3877816,229.82846326738712,False,2354.300943993489
210000000,1091405097,Transformers: Age of Extinction,5.8,2014-06-25,2014.0,1091.405097,210.0,1192.6078174295192,1192607817.429519,229.47267,False,3495.4356047318934
155000000,167298192,Alexander,5.6,2004-11-21,2004.0,167.298192,155.0,245.68303515149287,245683035.15149286,227.62272558499254,False,2015.2466871065549
115000000,378882411,True Lies,6.8,1994-07-14,1994.0,378.882411,115.0,747.7572156527267,747757215.6527268,226.96244877955965,False,3692.008264503822
