Title,Actor
R.I.P.D.,Jeff Bridges
R.I.P.D.,Ryan Reynolds
R.I.P.D.,Kevin Bacon
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp
Pirates of the Caribbean: The Curse of the Black Pearl,Geoffrey Rush
Pirates of the Caribbean: The Curse of the Black Pearl,Orlando Bloom
The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence
The Hunger Games: Mockingjay - Part 1,Josh Hutcherson
The Hunger Games: Mockingjay - Part 1,Liam Hemsworth
The Da Vinci Code,Tom Hanks
The Da Vinci Code,Audrey Tautou
The Da Vinci Code,Ian McKellen
Rio 2,Jesse Eisenberg
Rio 2,Anne Hathaway
Rio 2,Leslie Mann
X2,Patrick Stewart
X2,Hugh Jackman
X2,Ian McKellen
Fast Five,Vin Diesel
Fast Five,Paul Walker
Fast Five,Jordana Brewster
Sherlock Holmes: A Game of Shadows,Robert Downey Jr.
Sherlock Holmes: A Game of Shadows,Jude Law
Sherlock Holmes: A Game of Shadows,Jared Harris
Clash of the Titans,Sam Worthington
Clash of the Titans,Liam Neeson
Clash of the Titans,Ralph Fiennes
Total Recall,Arnold Schwarzenegger
Total Recall,Sharon Stone
Total Recall,Rachel Ticotin
The 13th Warrior,Antonio Banderas
The 13th Warrior,Vladimir Kulich
The 13th Warrior,Dennis Storhøi
The Bourne Legacy,Jeremy Renner
The Bourne Legacy,Rachel Weisz
The Bourne Legacy,Edward Norton
Batman & Robin,George Clooney
Batman & Robin,Chris O'Donnell
Batman & Robin,Arnold Schwarzenegger
How the Grinch Stole Christmas,Jim Carrey
How the Grinch Stole Christmas,Taylor Momsen
How the Grinch Stole Christmas,Jeffrey Tambor
The Day After Tomorrow,Dennis Quaid
The Day After Tomorrow,Jake Gyllenhaal
The Day After Tomorrow,Emmy Rossum
Mission: Impossible II,Tom Cruise
Mission: Impossible II,Dougray Scott
Mission: Impossible II,Thandie Newton
The Perfect Storm,George Clooney
The Perfect Storm,Mark Wahlberg
The Perfect Storm,Diane Lane
Fantastic 4: Rise of the Silver Surfer,Ioan Gruffudd
Fantastic 4: Rise of the Silver Surfer,Jessica Alba
Fantastic 4: Rise of the Silver Surfer,Chris Evans
Life of Pi,Suraj Sharma
Life of Pi,Irrfan Khan
Life of Pi,Ayush Tandon
Ghost Rider,Nicolas Cage
Ghost Rider,Eva Mendes
Ghost Rider,Wes Bentley
Jason Bourne,Matt Damon
Jason Bourne,Alicia Vikander
Jason Bourne,Tommy Lee Jones
Charlie's Angels: Full Throttle,Cameron Diaz
Charlie's Angels: Full Throttle,Drew Barrymore
Charlie's Angels: Full Throttle,Lucy Liu
Prometheus,Noomi Rapace
Prometheus,Michael Fassbender
Prometheus,Guy Pearce
Stuart Little 2,Michael J. Fox
Stuart Little 2,Geena Davis
Stuart Little 2,Hugh Laurie
Elysium,Matt Damon
Elysium,Jodie Foster
Elysium,Sharlto Copley
The Chronicles of Riddick,Vin Diesel
The Chronicles of Riddick,Thandie Newton
The Chronicles of Riddick,Karl Urban
RoboCop,Joel Kinnaman
RoboCop,Gary Oldman
RoboCop,Michael Keaton
Speed Racer,Emile Hirsch
Speed Racer,Christina Ricci
Speed Racer,Matthew Fox
How Do You Know,Reese Witherspoon
How Do You Know,Paul Rudd
How Do You Know,Owen Wilson
Knight and Day,Tom Cruise
Knight and Day,Cameron Diaz
Knight and Day,Peter Sarsgaard
Oblivion,Tom Cruise
Oblivion,Morgan Freeman
Oblivion,Olga Kurylenko
Star Wars: Episode III - Revenge of the Sith,Ewan McGregor
Star Wars: Episode III - Revenge of the Sith,Natalie Portman
Star Wars: Episode III - Revenge of the Sith,Hayden Christensen
Star Wars: Episode II - Attack of the Clones,Ewan McGregor
Star Wars: Episode II - Attack of the Clones,Natalie Portman
Star Wars: Episode II - Attack of the Clones,Hayden Christensen
"Monsters, Inc.",John Goodman
"Monsters, Inc.",Billy Crystal
"Monsters, Inc.",Mary Gibbs
The Wolverine,Hugh Jackman
The Wolverine,Hiroyuki Sanada
The Wolverine,Famke Janssen
Star Wars: Episode I - The Phantom Menace,Liam Neeson
Star Wars: Episode I - The Phantom Menace,Ewan McGregor
Star Wars: Episode I - The Phantom Menace,Natalie Portman
The Croods,Nicolas Cage
The Croods,Emma Stone
The Croods,Ryan Reynolds
Asterix at the Olympic Games,Clovis Cornillac
Asterix at the Olympic Games,Gérard Depardieu
Asterix at the Olympic Games,Franck Dubosc
Windtalkers,Nicolas Cage
Windtalkers,Adam Beach
Windtalkers,Peter Stormare
The Huntsman: Winter's War,Chris Hemsworth
The Huntsman: Winter's War,Charlize Theron
The Huntsman: Winter's War,Emily Blunt
Teenage Mutant Ninja Turtles,Megan Fox
Teenage Mutant Ninja Turtles,Will Arnett
Teenage Mutant Ninja Turtles,William Fichtner
Gravity,Sandra Bullock
Gravity,George Clooney
Gravity,Ed Harris
Dante's Peak,Pierce Brosnan
Dante's Peak,Linda Hamilton
Dante's Peak,Jamie Renée Smith
Teenage Mutant Ninja Turtles: Out of the Shadows,Megan Fox
Teenage Mutant Ninja Turtles: Out of the Shadows,Stephen Amell
Teenage Mutant Ninja Turtles: Out of the Shadows,Will Arnett
Fantastic Four,Miles Teller
Fantastic Four,Kate Mara
Fantastic Four,Michael B. Jordan
Night at the Museum,Ben Stiller
Night at the Museum,Jake Cherry
Night at the Museum,Carla Gugino
San Andreas,Dwayne Johnson
San Andreas,Alexandra Daddario
San Andreas,Carla Gugino
Tomorrow Never Dies,Pierce Brosnan
Tomorrow Never Dies,Jonathan Pryce
Tomorrow Never Dies,Michelle Yeoh
The Patriot,Mel Gibson
The Patriot,Heath Ledger
The Patriot,Joely Richardson
Ocean's Twelve,George Clooney
Ocean's Twelve,Brad Pitt
