Title,Actor
Indignation,Tracy Letts
The Amityville Horror,Ryan Reynolds
The Amityville Horror,Melissa George
The Amityville Horror,Jesse James
Adaptation.,Nicolas Cage
Adaptation.,Meryl Streep
Adaptation.,Chris Cooper
Land of the Dead,Simon Baker
Land of the Dead,John Leguizamo
Land of the Dead,Dennis Hopper
Out of Inferno,Lau Ching-Wan
Out of Inferno,Angelica Lee
Out of Inferno,Chen Sicheng
Fear and Loathing in Las Vegas,Johnny Depp
Fear and Loathing in Las Vegas,Benicio del Toro
Fear and Loathing in Las Vegas,Tobey Maguire
The Invention of Lying,Ricky Gervais
The Invention of Lying,Jennifer Garner
The Invention of Lying,Jonah Hill
Neighbors,Seth Rogen
Neighbors,Zac Efron
Neighbors,Rose Byrne
The Mask,Jim Carrey
The Mask,Cameron Diaz
The Mask,Nancy Fish
Big,Tom Hanks
Big,Elizabeth Perkins
Big,Robert Loggia
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Sacha Baron Cohen
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Ken Davitian
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Luenell
Legally Blonde,Reese Witherspoon
Legally Blonde,Luke Wilson
Legally Blonde,Selma Blair
Star Trek III: The Search for Spock,William Shatner
Star Trek III: The Search for Spock,Leonard Nimoy
Star Trek III: The Search for Spock,DeForest Kelley
The Exorcism of Emily Rose,Laura Linney
The Exorcism of Emily Rose,Tom Wilkinson
The Exorcism of Emily Rose,Campbell Scott
Deuce Bigalow: Male Gigolo,Rob Schneider
Deuce Bigalow: Male Gigolo,William Forsythe
Deuce Bigalow: Male Gigolo,Eddie Griffin
Left Behind,Nicolas Cage
Left Behind,Chad Michael Murray
Left Behind,Lea Thompson
The Family Stone,Claire Danes
The Family Stone,Diane Keaton
The Family Stone,Rachel McAdams
Barbershop 2:  Back in Business,Ice Cube
Barbershop 2:  Back in Business,Cedric the Entertainer
Barbershop 2:  Back in Business,Sean Patrick Thomas
Bad Santa,Billy Bob Thornton
Bad Santa,Tony Cox
Bad Santa,Brett Kelly
Austin Powers: International Man of Mystery,Mike Myers
Austin Powers: International Man of Mystery,Elizabeth Hurley
Austin Powers: International Man of Mystery,Michael York
My Big Fat Greek Wedding 2,John Corbett
My Big Fat Greek Wedding 2,Elena Kampouris
My Big Fat Greek Wedding 2,Nia Vardalos
Diary of a Wimpy Kid: Rodrick Rules,Zachary Gordon
Diary of a Wimpy Kid: Rodrick Rules,Devon Bostick
Diary of a Wimpy Kid: Rodrick Rules,Rachael Harris
Predator,Arnold Schwarzenegger
Predator,Carl Weathers
Predator,Elpidia Carrillo
Amadeus,F. Murray Abraham
Amadeus,Tom Hulce
Amadeus,Elizabeth Berridge
Prom Night,Brittany Snow
Prom Night,Scott Porter
Prom Night,Jessica Stroup
Mean Girls,Lindsay Lohan
Mean Girls,Rachel McAdams
Mean Girls,Tim Meadows
Under the Tuscan Sun,Diane Lane
Under the Tuscan Sun,Sandra Oh
Under the Tuscan Sun,Lindsay Duncan
Gosford Park,Helen Mirren
Gosford Park,Clive Owen
Gosford Park,Maggie Smith
Peggy Sue Got Married,Kathleen Turner
Peggy Sue Got Married,Nicolas Cage
Peggy Sue Got Married,Barry Miller
Birdman,Michael Keaton
Birdman,Emma Stone
Birdman,Zach Galifianakis
Blue Jasmine,Cate Blanchett
Blue Jasmine,Alec Baldwin
Blue Jasmine,Sally Hawkins
United 93,J.J. Johnson
United 93,Polly Adams
United 93,Trish Gates
Honey,Jessica Alba
Honey,Mekhi Phifer
Honey,Joy Bryant
Spy Hard,Leslie Nielsen
Spy Hard,Nicollette Sheridan
Spy Hard,Charles Durning
The Fog,Adrienne Barbeau
The Fog,Jamie Lee Curtis
The Fog,Janet Leigh
Soul Surfer,AnnaSophia Robb
Soul Surfer,Helen Hunt
Soul Surfer,Lorraine Nicholson
Catch-22,Alan Arkin
Catch-22,Martin Balsam
Catch-22,Richard Benjamin
Observe and Report,Seth Rogen
Observe and Report,Anna Faris
Observe and Report,Michael Peña
Conan the Destroyer,Arnold Schwarzenegger
Conan the Destroyer,Grace Jones
Conan the Destroyer,Wilt Chamberlain
Raging Bull,Robert De Niro
Raging Bull,Joe Pesci
Raging Bull,Cathy Moriarty
Love Happens,Aaron Eckhart
Love Happens,Jennifer Aniston
Love Happens,Judy Greer
Young Sherlock Holmes,Nicholas Rowe
Young Sherlock Holmes,Alan Cox
Young Sherlock Holmes,Sophie Ward
Fame,Kay Panabaker
Fame,Naturi Naughton
Fame,Kherington Payne
127 Hours,James Franco
127 Hours,Kate Mara
127 Hours,Amber Tamblyn
Small Time Crooks,Woody Allen
Small Time Crooks,Carolyn Saxon
Small Time Crooks,Tracey Ullman
Center Stage,Amanda Schull
Center Stage,Zoe Saldana
Center Stage,Susan May Pratt
Love the Coopers,Steve Martin
Love the Coopers,Diane Keaton
Love the Coopers,John Goodman
Catch That Kid,Kristen Stewart
Catch That Kid,Corbin Bleu
Catch That Kid,Max Thieriot
Life as a House,Kevin Kline
Life as a House,Kristin Scott Thomas
Life as a House,Hayden Christensen
Steve Jobs,Michael Fassbender
Steve Jobs,Kate Winslet
Steve Jobs,Seth Rogen
"I Love You, Beth Cooper",Hayden Panettiere
"I Love You, Beth Cooper",Paul Rust
"I Love You, Beth Cooper",Lauren London
Youth in Revolt,Michael Cera
Youth in Revolt,Zach Galifianakis
Youth in Revolt,Justin Long
The Legend of the Lone Ranger,Christopher Lloyd
The Legend of the Lone Ranger,Matt Clark
The Legend of the Lone Ranger,Juanin Clay
The Tailor of Panama,Pierce Brosnan
The Tailor of Panama,Geoffrey Rush
The Tailor of Panama,Jamie Lee Curtis
Blow Out,John Travolta
Blow Out,Nancy Allen
Blow Out,John Lithgow
Getaway,Ethan Hawke
Getaway,Selena Gomez
Getaway,Jon Voight
The Ice Storm,Kevin Kline
The Ice Storm,Joan Allen
The Ice Storm,Sigourney Weaver
And So It Goes,Michael Douglas
And So It Goes,Diane Keaton
And So It Goes,Sterling Jerins
Troop Beverly Hills,Shelley Long
Troop Beverly Hills,Craig T. Nelson
Troop Beverly Hills,Betty Thomas
Being Julia,Michael Gambon
Being Julia,Annette Bening
Being Julia,Leigh Lawson
Nine 1/2 Weeks,Mickey Rourke
Nine 1/2 Weeks,Kim Basinger
Nine 1/2 Weeks,Margaret Whitton
Dragonslayer,Peter MacNicol
Dragonslayer,Caitlin Clarke
Dragonslayer,Ralph Richardson
The Last Station,James McAvoy
The Last Station,Christopher Plummer
The Last Station,Helen Mirren
Ed Wood,Johnny Depp
Ed Wood,Martin Landau
Ed Wood,Sarah Jessica Parker
Labor Day,Josh Brolin
Labor Day,Kate Winslet
Labor Day,Gattlin Griffith
Mongol: The Rise of Genghis Khan,Tadanobu Asano
Mongol: The Rise of Genghis Khan,Sun Honglei
Mongol: The Rise of Genghis Khan,Khulan Chuluun
RockNRolla,Mark Strong
RockNRolla,Tom Wilkinson
RockNRolla,Toby Kebbell
Megaforce,Barry Bostwick
Megaforce,Michael Beck
Megaforce,Persis Khambatta
Hamlet,Kenneth Branagh
Hamlet,Derek Jacobi
Hamlet,Julie Christie
Mao's Last Dancer,Chi Cao
Mao's Last Dancer,Chengwu Guo
Mao's Last Dancer,Wen Bin Huang
Midnight Special,Michael Shannon
Midnight Special,Jaeden Lieberher
Midnight Special,Joel Edgerton
Anything Else,Woody Allen
Anything Else,Jason Biggs
Anything Else,Christina Ricci
The Railway Man,Jeremy Irvine
The Railway Man,Colin Firth
The Railway Man,Stellan Skarsgård
The White Ribbon,Ursina Lardi
The White Ribbon,Ulrich Tukur
The White Ribbon,Burghart Klaußner
Restoration,Emily Roya O'Brien
Restoration,Adrian Gaeta
Restoration,Zack Ward
The Wraith,Charlie Sheen
The Wraith,Nick Cassavetes
The Wraith,Sherilyn Fenn
Salton Sea,Val Kilmer
Salton Sea,Vincent D'Onofrio
Salton Sea,Adam Goldberg
Metallica: Through the Never,Dane DeHaan
Metallica: Through the Never,Mackenzie Gray
Metallica: Through the Never,James Hetfield
The Informers,Billy Bob Thornton
The Informers,Kim Basinger
The Informers,Mickey Rourke
Carlos,Edgar Ramírez
Carlos,Alexander Scheer
Carlos,Fadi Abi Samra
I Come with the Rain,Josh Hartnett
I Come with the Rain,Elias Koteas
I Come with the Rain,Takuya Kimura
One Man's Hero,Tom Berenger
One Man's Hero,Joaquim de Almeida
One Man's Hero,Daniela Romo
Day of the Dead,Lori Cardille
Day of the Dead,Terry Alexander
Day of the Dead,Joseph Pilato
I Am Wrath,John Travolta
I Am Wrath,Christopher Meloni
I Am Wrath,Rebecca De Mornay
Renaissance,Daniel Craig
Renaissance,Catherine McCormack
Renaissance,Romola Garai
Red Sonja,Arnold Schwarzenegger
Red Sonja,Brigitte Nielsen
Red Sonja,Sandahl Bergman
Red Lights,Sigourney Weaver
Red Lights,Robert De Niro
Red Lights,Cillian Murphy
Superbad,Jonah Hill
Superbad,Michael Cera
Superbad,Christopher Mintz-Plasse
Madea Goes to Jail,Tyler Perry
Madea Goes to Jail,Derek Luke
Madea Goes to Jail,Keshia Knight Pulliam
Wolves,Jason Momoa
Wolves,Lucas Till
Wolves,John Pyper-Ferguson
Step Up 2: The Streets,Briana Evigan
Step Up 2: The Streets,Robert Hoffman
Step Up 2: The Streets,Will Kemp
Hoodwinked!,Anne Hathaway
Hoodwinked!,Glenn Close
Hoodwinked!,Jim Belushi
Hotel Rwanda,Don Cheadle
Hotel Rwanda,Sophie Okonedo
Hotel Rwanda,Nick Nolte
Hitman,Timothy Olyphant
Hitman,Dougray Scott
Hitman,Olga Kurylenko
Black Nativity,Forest Whitaker
Black Nativity,Angela Bassett
Black Nativity,Jennifer Hudson
The Prince,Bruce Willis
The Prince,Jason Patric
The Prince,John Cusack
City of Ghosts,Matt Dillon
City of Ghosts,James Caan
City of Ghosts,Natascha McElhone
The Others,Nicole Kidman
The Others,Christopher Eccleston
The Others,Alakina Mann
Aliens,Sigourney Weaver
Aliens,Michael Biehn
Aliens,James Remar
My Fair Lady,Audrey Hepburn
My Fair Lady,Rex Harrison
My Fair Lady,Stanley Holloway
I Know What You Did Last Summer,Jennifer Love Hewitt
I Know What You Did Last Summer,Sarah Michelle Gellar
I Know What You Did Last Summer,Ryan Phillippe
Let's Be Cops,Jake Johnson
Let's Be Cops,Damon Wayans Jr.
Let's Be Cops,Nina Dobrev
Sideways,Paul Giamatti
Sideways,Thomas Haden Church
Sideways,Virginia Madsen
Beerfest,Erik Stolhanske
Beerfest,Jay Chandrasekhar
Beerfest,Steve Lemme
Halloween,Donald Pleasence
Halloween,Jamie Lee Curtis
Halloween,P.J. Soles
Good Boy!,Molly Shannon
Good Boy!,Liam Aiken
Good Boy!,Matthew Broderick
The Best Man Holiday,Terrence Howard
The Best Man Holiday,Harold Perrineau
The Best Man Holiday,Morris Chestnut
Smokin' Aces,Ryan Reynolds
Smokin' Aces,Ray Liotta
Smokin' Aces,Joseph Ruskin
Saw: The Final Chapter,Tobin Bell
Saw: The Final Chapter,Costas Mandylor
Saw: The Final Chapter,Betsy Russell
40 Days and 40 Nights,Josh Hartnett
40 Days and 40 Nights,Shannyn Sossamon
40 Days and 40 Nights,Adam Trese
A Night at the Roxbury,Will Ferrell
A Night at the Roxbury,Chris Kattan
A Night at the Roxbury,Jennifer Coolidge
Beastly,Alex Pettyfer
Beastly,Vanessa Hudgens
Beastly,Mary-Kate Olsen
The Hills Have Eyes,Aaron Stanford
The Hills Have Eyes,Kathleen Quinlan
The Hills Have Eyes,Vinessa Shaw
Dickie Roberts: Former Child Star,David Spade
Dickie Roberts: Former Child Star,Mary McCormack
Dickie Roberts: Former Child Star,Craig Bierko
"McFarland, USA",Kevin Costner
"McFarland, USA",Ramiro Rodriguez
"McFarland, USA",Carlos Pratts
Lottery Ticket,Shad Moss
Lottery Ticket,Brandon T. Jackson
Lottery Ticket,Naturi Naughton
ATL,T.I.
ATL,Evan Ross
ATL,Jackie Long
Pitch Perfect,Anna Kendrick
Pitch Perfect,Skylar Astin
Pitch Perfect,Brittany Snow
Summer Catch,Freddie Prinze Jr.
Summer Catch,Jessica Biel
Summer Catch,Fred Ward
A Simple Plan,Bill Paxton
A Simple Plan,Bridget Fonda
A Simple Plan,Billy Bob Thornton
They,Laura Regan
They,Marc Blucas
They,Ethan Embry
Larry the Cable Guy: Health Inspector,Larry the Cable Guy
Larry the Cable Guy: Health Inspector,Iris Bahr
Larry the Cable Guy: Health Inspector,Tony Hale
The Adventures of Elmo in Grouchland,Kevin Clash
The Adventures of Elmo in Grouchland,Mandy Patinkin
The Adventures of Elmo in Grouchland,Vanessa Williams
Brooklyn's Finest,Richard Gere
Brooklyn's Finest,Don Cheadle
Brooklyn's Finest,Ethan Hawke
55 Days at Peking,Charlton Heston
55 Days at Peking,Ava Gardner
55 Days at Peking,David Niven
Evil Dead,Jane Levy
Evil Dead,Shiloh Fernandez
Evil Dead,Lou Taylor Pucci
My Life in Ruins,Nia Vardalos
My Life in Ruins,Richard Dreyfuss
My Life in Ruins,Alexis Georgoulis
American Dreamz,Hugh Grant
American Dreamz,Dennis Quaid
American Dreamz,Mandy Moore
Superman IV: The Quest for Peace,Christopher Reeve
Superman IV: The Quest for Peace,Margot Kidder
Superman IV: The Quest for Peace,Gene Hackman
How She Move,Rutina Wesley
How She Move,Dwain Murphy
How She Move,Boyd Banks
Running Scared,Paul Walker
Running Scared,Cameron Bright
Running Scared,Vera Farmiga
Bobby Jones: Stroke of Genius,Jim Caviezel
Bobby Jones: Stroke of Genius,Claire Forlani
Bobby Jones: Stroke of Genius,Jeremy Northam
Shanghai Surprise,Madonna
Shanghai Surprise,Sean Penn
Shanghai Surprise,Paul Freeman
The Illusionist,Edward Norton
The Illusionist,Jessica Biel
The Illusionist,Paul Giamatti
Roar,Tippi Hedren
Roar,Melanie Griffith
Roar,Jerry Marshall
Veronica Guerin,Cate Blanchett
Veronica Guerin,Gerard McSorley
Veronica Guerin,Ciarán Hinds
Escobar: Paradise Lost,Benicio del Toro
Escobar: Paradise Lost,Josh Hutcherson
Escobar: Paradise Lost,Brady Corbet
Southland Tales,Dwayne Johnson
Southland Tales,Seann William Scott
Southland Tales,Sarah Michelle Gellar
Dragon Hunters,Vincent Lindon
Dragon Hunters,Patrick Timsit
Dragon Hunters,Philippe Nahon
Damnation Alley,Jan-Michael Vincent
Damnation Alley,George Peppard
Damnation Alley,Dominique Sanda
The Apparition,Ashley Greene
The Apparition,Sebastian Stan
The Apparition,Tom Felton
My Girl,Anna Chlumsky
My Girl,Macaulay Culkin
My Girl,Dan Aykroyd
Fur: An Imaginary Portrait of Diane Arbus,Nicole Kidman
Fur: An Imaginary Portrait of Diane Arbus,Robert Downey Jr.
Fur: An Imaginary Portrait of Diane Arbus,Ty Burrell
Wall Street,Charlie Sheen
Wall Street,Michael Douglas
Wall Street,Martin Sheen
Sense and Sensibility,Kate Winslet
Sense and Sensibility,Emma Thompson
Sense and Sensibility,Hugh Grant
Becoming Jane,Anne Hathaway
Becoming Jane,James McAvoy
Becoming Jane,Julie Walters
Sydney White,Amanda Bynes
Sydney White,Sara Paxton
Sydney White,Matt Long
House of Sand and Fog,Jennifer Connelly
House of Sand and Fog,Ben Kingsley
House of Sand and Fog,Ron Eldard
Dead Poets Society,Robin Williams
Dead Poets Society,Ethan Hawke
Dead Poets Society,Robert Sean Leonard
Dumb and Dumber,Jim Carrey
Dumb and Dumber,Jeff Daniels
Dumb and Dumber,Lauren Holly
When Harry Met Sally...,Meg Ryan
When Harry Met Sally...,Billy Crystal
When Harry Met Sally...,Carrie Fisher
The Verdict,Paul Newman
The Verdict,Charlotte Rampling
The Verdict,Jack Warden
Road Trip,Breckin Meyer
Road Trip,Seann William Scott
Road Trip,Amy Smart
Varsity Blues,James Van Der Beek
Varsity Blues,Amy Smart
Varsity Blues,Jon Voight
The Artist,Jean Dujardin
The Artist,Bérénice Bejo
The Artist,John Goodman
The Unborn,Odette Annable
The Unborn,Gary Oldman
The Unborn,Meagan Good
Moonrise Kingdom,Bruce Willis
Moonrise Kingdom,Edward Norton
Moonrise Kingdom,Jared Gilman
The Texas Chainsaw Massacre: The Beginning,Jordana Brewster
The Texas Chainsaw Massacre: The Beginning,Taylor Handley
The Texas Chainsaw Massacre: The Beginning,Diora Baird
The Young Messiah,Adam Greaves-Neal
The Young Messiah,Sara Lazzaro
The Young Messiah,Vincent Walsh
The Master of Disguise,Dana Carvey
The Master of Disguise,Brent Spiner
The Master of Disguise,Jennifer Esposito
Pan's Labyrinth,Ivana Baquero
Pan's Labyrinth,Maribel Verdú
Pan's Labyrinth,Sergi López
See Spot Run,Michael Clarke Duncan
See Spot Run,David Arquette
See Spot Run,Leslie Bibb
Baby Boy,Tyrese Gibson
Baby Boy,Taraji P. Henson
Baby Boy,Omar Gooding
The Roommate,Minka Kelly
The Roommate,Leighton Meester
The Roommate,Cam Gigandet
Joe Dirt,David Spade
Joe Dirt,Brittany Daniel
Joe Dirt,Dennis Miller
Double Impact,Jean-Claude Van Damme
Double Impact,Geoffrey Lewis
Double Impact,Alonna Shaw
Hot Fuzz,Simon Pegg
Hot Fuzz,Nick Frost
Hot Fuzz,Jim Broadbent
The Women,Cloris Leachman
The Women,India Ennenga
The Women,Annette Bening
Vicky Cristina Barcelona,Scarlett Johansson
Vicky Cristina Barcelona,Rebecca Hall
Vicky Cristina Barcelona,Javier Bardem
Arn: The Knight Templar,Joakim Nätterqvist
Arn: The Knight Templar,Sofia Helin
Arn: The Knight Templar,Stellan Skarsgård
Boys and Girls,Freddie Prinze Jr.
Boys and Girls,Claire Forlani
Boys and Girls,Jason Biggs
White Oleander,Alison Lohman
White Oleander,Michelle Pfeiffer
White Oleander,Cole Hauser
Jennifer's Body,Megan Fox
Jennifer's Body,Amanda Seyfried
Jennifer's Body,Johnny Simmons
Drowning Mona,Danny DeVito
Drowning Mona,Bette Midler
Drowning Mona,Neve Campbell
Radio Days,Woody Allen
Radio Days,Mia Farrow
Radio Days,Jeff Daniels
Remember Me,Robert Pattinson
Remember Me,Emilie de Ravin
Remember Me,Pierce Brosnan
How to Deal,Mandy Moore
How to Deal,Trent Ford
How to Deal,Allison Janney
My Stepmother is an Alien,Dan Aykroyd
My Stepmother is an Alien,Kim Basinger
My Stepmother is an Alien,Jon Lovitz
Philadelphia,Tom Hanks
Philadelphia,Denzel Washington
Philadelphia,Jason Robards
The Thirteenth Floor,Craig Bierko
The Thirteenth Floor,Armin Mueller-Stahl
The Thirteenth Floor,Gretchen Mol
The Cookout,Ja Rule
The Cookout,Tim Meadows
The Cookout,Jenifer Lewis
Meteor,Sean Connery
Meteor,Natalie Wood
Meteor,Karl Malden
Duets,Gwyneth Paltrow
Duets,Scott Speedman
Duets,Maria Bello
Hollywood Ending,Woody Allen
Hollywood Ending,George Hamilton
Hollywood Ending,Téa Leoni
Detroit Rock City,Giuseppe Andrews
Detroit Rock City,James DeBello
Detroit Rock City,Edward Furlong
Highlander,Christopher Lambert
Highlander,Roxanne Hart
Highlander,Clancy Brown
Things We Lost in the Fire,Halle Berry
Things We Lost in the Fire,Benicio del Toro
Things We Lost in the Fire,David Duchovny
Steel,Shaquille O'Neal
Steel,Annabeth Gish
Steel,Richard Roundtree
The Immigrant,Marion Cotillard
The Immigrant,Jeremy Renner
The Immigrant,Joaquin Phoenix
The White Countess,Ralph Fiennes
The White Countess,Natasha Richardson
The White Countess,Hiroyuki Sanada
Trance,James McAvoy
Trance,Vincent Cassel
Trance,Rosario Dawson
Soul Plane,Tom Arnold
Soul Plane,Kevin Hart
Soul Plane,Method Man
Welcome to the Sticks,Kad Merad
Welcome to the Sticks,Dany Boon
Welcome to the Sticks,Zoé Félix
Good,Viggo Mortensen
Good,Jason Isaacs
Good,Mark Strong
Enter the Void,Nathaniel Brown
Enter the Void,Paz de la Huerta
Enter the Void,Cyril Roy
Vamps,Alicia Silverstone
Vamps,Krysten Ritter
Vamps,Sigourney Weaver
Hachi: A Dog's Tale,Richard Gere
Hachi: A Dog's Tale,Joan Allen
Hachi: A Dog's Tale,Jason Alexander
Zulu,Orlando Bloom
Zulu,Forest Whitaker
Zulu,Conrad Kemp
The Homesman,Hilary Swank
The Homesman,Tommy Lee Jones
The Homesman,Grace Gummer
Juwanna Mann,"Miguel A. Núñez, Jr."
Juwanna Mann,Vivica A. Fox
Juwanna Mann,Kevin Pollak
Ararat,Simon Abkarian
Ararat,Charles Aznavour
Ararat,Christopher Plummer
Madison,Jim Caviezel
Madison,Jake Lloyd
Madison,Mary McCormack
Slow Burn,Ray Liotta
Slow Burn,LL Cool J
Slow Burn,Mekhi Phifer
Wasabi,Jean Reno
Wasabi,Ryoko Hirosue
Wasabi,Michel Muller
Slither,Nathan Fillion
Slither,Don Thompson
Slither,Elizabeth Banks
Beverly Hills Cop,Eddie Murphy
Beverly Hills Cop,Judge Reinhold
Beverly Hills Cop,John Ashton
Home Alone,Macaulay Culkin
Home Alone,Joe Pesci
Home Alone,Daniel Stern
Three Men and a Baby,Tom Selleck
Three Men and a Baby,Steve Guttenberg
Three Men and a Baby,Ted Danson
Tootsie,Dustin Hoffman
Tootsie,Jessica Lange
Tootsie,Teri Garr
Top Gun,Tom Cruise
Top Gun,Kelly McGillis
Top Gun,Val Kilmer
"Crouching Tiger, Hidden Dragon",Chow Yun-fat
"Crouching Tiger, Hidden Dragon",Michelle Yeoh
"Crouching Tiger, Hidden Dragon",Zhang Ziyi
American Beauty,Kevin Spacey
American Beauty,Annette Bening
American Beauty,Thora Birch
The King's Speech,Colin Firth
The King's Speech,Geoffrey Rush
The King's Speech,Helena Bonham Carter
Twins,Arnold Schwarzenegger
Twins,Danny DeVito
Twins,Kelly Preston
The Yellow Handkerchief,William Hurt
The Yellow Handkerchief,Maria Bello
The Yellow Handkerchief,Kristen Stewart
The Color Purple,Whoopi Goldberg
The Color Purple,Margaret Avery
The Color Purple,Danny Glover
Tidal Wave,Park Joong-hoon
Tidal Wave,Sol Kyung-gu
Tidal Wave,Uhm Jung-hwa
The Imitation Game,Benedict Cumberbatch
The Imitation Game,Keira Knightley
The Imitation Game,Matthew Goode
Private Benjamin,Goldie Hawn
Private Benjamin,Eileen Brennan
Private Benjamin,Armand Assante
Coal Miner's Daughter,Sissy Spacek
Coal Miner's Daughter,Tommy Lee Jones
Coal Miner's Daughter,Levon Helm
Diary of a Wimpy Kid,Zachary Gordon
Diary of a Wimpy Kid,Robert Capron
Diary of a Wimpy Kid,Rachael Harris
Mama,Jessica Chastain
Mama,Nikolaj Coster-Waldau
Mama,Megan Charpentier
National Lampoon's Vacation,Chevy Chase
National Lampoon's Vacation,Beverly D'Angelo
National Lampoon's Vacation,Imogene Coca
Bad Grandpa,Johnny Knoxville
Bad Grandpa,Jackson Nicoll
Bad Grandpa,Georgina Cates
The Queen,Helen Mirren
The Queen,Michael Sheen
The Queen,James Cromwell
Beetlejuice,Geena Davis
Beetlejuice,Alec Baldwin
Beetlejuice,Winona Ryder
Why Did I Get Married?,Tyler Perry
Why Did I Get Married?,Jill Scott
Why Did I Get Married?,Janet Jackson
Little Women,Winona Ryder
Little Women,Gabriel Byrne
Little Women,Trini Alvarado
The Woman in Black,Daniel Radcliffe
The Woman in Black,Ciarán Hinds
The Woman in Black,Sidney Johnston
When a Stranger Calls,Camilla Belle
When a Stranger Calls,Katie Cassidy
When a Stranger Calls,Tommy Flanagan
Big Fat Liar,Frankie Muniz
Big Fat Liar,Paul Giamatti
Big Fat Liar,Amanda Bynes
The Deer Hunter,Robert De Niro
The Deer Hunter,John Cazale
The Deer Hunter,John Savage
Wag the Dog,Dustin Hoffman
Wag the Dog,Robert De Niro
Wag the Dog,Anne Heche
The Lizzie McGuire Movie,Hilary Duff
The Lizzie McGuire Movie,Adam Lamberg
The Lizzie McGuire Movie,Hallie Todd
Snitch,Dwayne Johnson
Snitch,Barry Pepper
Snitch,Jon Bernthal
Krampus,Adam Scott
Krampus,Toni Collette
Krampus,Allison Tolman
The Faculty,Jordana Brewster
The Faculty,Elijah Wood
The Faculty,Clea DuVall
What's Love Got to Do with It,Angela Bassett
What's Love Got to Do with It,Laurence Fishburne
What's Love Got to Do with It,Vanessa Bell Calloway
Cop Land,Sylvester Stallone
Cop Land,Harvey Keitel
Cop Land,Ray Liotta
Not Another Teen Movie,Chyler Leigh
Not Another Teen Movie,Chris Evans
Not Another Teen Movie,Jaime Pressly
End of Watch,Jake Gyllenhaal
End of Watch,Michael Peña
End of Watch,Natalie Martinez
The Skulls,Joshua Jackson
The Skulls,Paul Walker
The Skulls,Hill Harper
The Theory of Everything,Eddie Redmayne
The Theory of Everything,Felicity Jones
The Theory of Everything,Charlie Cox
Malibu's Most Wanted,Jamie Kennedy
Malibu's Most Wanted,Taye Diggs
Malibu's Most Wanted,Anthony Anderson
Where the Heart Is,Natalie Portman
Where the Heart Is,Ashley Judd
Where the Heart Is,Stockard Channing
Lawrence of Arabia,Peter O'Toole
Lawrence of Arabia,Alec Guinness
Lawrence of Arabia,Anthony Quinn
Halloween II,Scout Taylor-Compton
Halloween II,Sheri Moon Zombie
Halloween II,Tyler Mane
Wild,Reese Witherspoon
Wild,Laura Dern
Wild,Thomas Sadoski
The Last House on the Left,Garret Dillahunt
The Last House on the Left,Michael Bowen
The Last House on the Left,Joshua Cox
The Wedding Date,Debra Messing
The Wedding Date,Dermot Mulroney
The Wedding Date,Amy Adams
Halloween: Resurrection,Jamie Lee Curtis
Halloween: Resurrection,Brad Loree
Halloween: Resurrection,Busta Rhymes
The Princess Bride,Cary Elwes
The Princess Bride,Robin Wright
The Princess Bride,Mandy Patinkin
The Great Debaters,Denzel Washington
The Great Debaters,Nate Parker
The Great Debaters,Forest Whitaker
Drive,Ryan Gosling
Drive,Carey Mulligan
Drive,Bryan Cranston
Confessions of a Teenage Drama Queen,Lindsay Lohan
Confessions of a Teenage Drama Queen,Adam Garcia
Confessions of a Teenage Drama Queen,Glenne Headly
The Object of My Affection,Jennifer Aniston
The Object of My Affection,Paul Rudd
The Object of My Affection,Hayden Panettiere
28 Weeks Later,Imogen Poots
28 Weeks Later,Robert Carlyle
28 Weeks Later,Rose Byrne
When the Game Stands Tall,Jim Caviezel
When the Game Stands Tall,Michael Chiklis
When the Game Stands Tall,Laura Dern
Because of Winn-Dixie,Jeff Daniels
Because of Winn-Dixie,AnnaSophia Robb
Because of Winn-Dixie,Cicely Tyson
Love & Basketball,"Chris Warren, Jr."
Love & Basketball,Kyla Pratt
Love & Basketball,Sanaa Lathan
Grosse Pointe Blank,John Cusack
Grosse Pointe Blank,Minnie Driver
Grosse Pointe Blank,Dan Aykroyd
All About Steve,Sandra Bullock
All About Steve,Thomas Haden Church
All About Steve,Bradley Cooper
Book of Shadows: Blair Witch 2,Kim Director
Book of Shadows: Blair Witch 2,Jeffrey Donovan
Book of Shadows: Blair Witch 2,Erica Leerhsen
The Craft,Robin Tunney
The Craft,Fairuza Balk
The Craft,Neve Campbell
Match Point,Jonathan Rhys Meyers
Match Point,Scarlett Johansson
Match Point,Emily Mortimer
Ramona and Beezus,Joey King
Ramona and Beezus,Selena Gomez
Ramona and Beezus,John Corbett
The Remains of the Day,Anthony Hopkins
The Remains of the Day,Emma Thompson
The Remains of the Day,James Fox
Boogie Nights,Mark Wahlberg
Boogie Nights,Burt Reynolds
Boogie Nights,John C. Reilly
Nowhere to Run,Jean-Claude Van Damme
Nowhere to Run,Rosanna Arquette
Nowhere to Run,Kieran Culkin
Flicka,Tim McGraw
Flicka,Maria Bello
Flicka,Armie Hammer
The Hills Have Eyes 2,Michael Bailey Smith
The Hills Have Eyes 2,Archie Kao
The Hills Have Eyes 2,Jay Acovone
Urban Legends: Final Cut,Jennifer Morrison
