Type,Rating,Latitude,Longitude,Year,Magnitude,Mass,VEI
Volcano,2,-2.7510000000000003,35.902,1917.0,,,3.0
Volcano,2,38.789,15.213,1919.0,,,3.0
Volcano,2,-1.4669999999999999,-78.442,2006.0,,,3.0
Volcano,2,13.853,-89.63,2005.0,,,3.0
Volcano,2,-8.107999999999999,112.92,2002.0,,,3.0
Volcano,2,13.257,123.685,1887.0,,,3.0
Volcano,2,-5.52,148.121,1888.0,,,3.0
Volcano,2,3.67,125.5,1892.0,,,3.0
Volcano,2,-16.25,168.12,1894.0,,,3.0
Volcano,2,13.257,123.685,1897.0,,,3.0
Volcano,2,37.734,15.004000000000001,2002.0,,,3.0
Volcano,2,-7.93,112.30799999999999,1901.0,,,3.0
Volcano,2,2.78,125.48,2002.0,,,3.0
Volcano,2,37.734,15.004000000000001,2001.0,,,3.0
Volcano,2,10.463,-84.70299999999999,2000.0,,,3.0
Volcano,2,-8.107999999999999,112.92,2000.0,,,3.0
Volcano,2,-1.4669999999999999,-78.442,1999.0,,,3.0
Volcano,2,-0.171,-78.598,1999.0,,,3.0
Volcano,2,-15.4,167.83,2018.0,,,3.0
Volcano,2,40.821,14.425999999999998,1906.0,,,3.0
Volcano,2,14.002,120.993,1911.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1911.0,,,3.0
Volcano,2,35.9,137.48,2014.0,,,3.0
Volcano,2,-1.4080000000000001,29.2,1912.0,,,3.0
Volcano,2,-16.25,168.12,1913.0,,,3.0
Volcano,2,-5.58,150.52,1914.0,,,3.0
Volcano,2,38.789,15.213,1916.0,,,3.0
Volcano,2,-39.42,-71.93,1949.0,,,3.0
Volcano,2,-41.326,-72.61399999999999,1917.0,,,3.0
Volcano,2,13.735999999999999,-89.286,1917.0,,,3.0
Volcano,2,3.138,125.491,1918.0,,,3.0
Volcano,2,16.72,-62.18,1999.0,,,3.0
Volcano,2,-8.32,121.708,2013.0,,,3.0
Volcano,2,34.73,139.38,1986.0,,,3.0
